"CO_SEQ_ID";"NU_VTMID";"DT_VTMIDDT";"CO_VTMIDPREV";"ST_INVALID";"NO_NM";"NO_ABBREVNM";"AU_AUDIT_CREATE_DATETIME";"AU_AUDIT_CHANGE_DATETIME";"AU_AUDIT_CREATE_USERNAME";"AU_AUDIT_CHANGE_USERNAME";"NU_VERSION";"ST_REGISTRO_ATIVO";"ST_CHANGE_APPROVE"
"503075";"@brasil19340775997";;;;"Formoterol + Fluticasona ";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503076";"@brasil14254725577";;;"1";"Formoterol + Fluticasona ";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503077";"@brasil13251300204";;;"1";"Frações Peptídicas Alergênicas";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503078";"@brasil13492324596";;;"1";"Frações Peptídicas Alergênicas";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503079";"@brasil17707722676";;;"1";"Frações Peptídicas Alergênicas";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503080";"@brasil18061639905";;;"1";"Frações Peptídicas Alergênicas";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503081";"@brasil17185031804";;;;"Frações Peptídicas Alergênicas";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503082";"@brasil11740239616";;;"1";"Frações Peptídicas Alergênicas";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503083";"@brasil17146102977";;;"1";"Frações Peptídicas Alergênicas";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503084";"@brasil10509796346";;;"1";"Frações Peptídicas Alergênicas";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503085";"@brasil11110673108";;;"1";"Frações Peptídicas Alergênicas";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503086";"@brasil14023976812";;;;"Gemifloxacino";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503087";"@brasil16787865045";;;;"Hidroxiapatita";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503088";"@brasil11867395099";;;;"Hidróxido de Alumínio + Hidróxido de Magnésio + Oxetacaína";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503089";"@brasil18973380668";;;;"Hidróxido de Alumínio + Hidróxido de Magnésio + Trissilicato de Magnésio";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503090";"@brasil19264718356";;;;"Hidroxietilamido";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503091";"@brasil19403450086";;;"1";"Hidroxietilamido + Cloreto de Sódio";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503092";"@brasil19223095669";;;;"Hidroxietilamido + Cloreto de Sódio";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503093";"@brasil17905128398";;;"1";"Hidroxietilamido + Cloreto de Sódio";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503094";"@brasil11856355295";;;"1";"Insulina Asparte bifásica ";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503095";"@brasil15566391585";;;;"Insulina Asparte bifásica ";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503096";"@brasil12262892351";;;"1";"Lanreotida";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
